threshold,precision,recall,f1,accuracy
0.0,0.05,1.0,0.09,0.05
0.05,0.06,1.0,0.11,0.24
0.1,0.07,1.0,0.14,0.38
0.15,0.08,0.98,0.15,0.45
0.2,0.08,0.94,0.16,0.5
0.25,0.09,0.94,0.17,0.55
0.3,0.1,0.92,0.18,0.59
0.35,0.11,0.92,0.19,0.63
0.4,0.12,0.92,0.21,0.67
0.45,0.13,0.92,0.23,0.7
0.5,0.14,0.86,0.24,0.73
0.55,0.15,0.84,0.26,0.77
0.6,0.16,0.76,0.27,0.79
0.65,0.18,0.74,0.28,0.82
0.7,0.19,0.68,0.29,0.84
0.75,0.21,0.58,0.3,0.87
0.8,0.2,0.4,0.27,0.89
0.85,0.21,0.2,0.21,0.92
0.9,0.2,0.06,0.09,0.94
0.95,0.0,0.0,0.0,0.95
1.0,0.0,0.0,0.0,0.95
