threshold,precision,recall,f1,accuracy
0.0,0.05,1.0,0.09,0.05
0.05,0.09,0.86,0.17,0.58
0.1,0.1,0.86,0.19,0.63
0.15,0.1,0.8,0.18,0.65
0.2,0.11,0.78,0.19,0.67
0.25,0.11,0.74,0.19,0.69
0.3,0.1,0.68,0.18,0.7
0.35,0.1,0.64,0.18,0.71
0.4,0.1,0.56,0.17,0.73
0.45,0.1,0.54,0.17,0.74
0.5,0.11,0.54,0.18,0.75
0.55,0.11,0.52,0.18,0.77
0.6,0.11,0.48,0.18,0.78
0.65,0.12,0.48,0.19,0.8
0.7,0.12,0.44,0.19,0.81
0.75,0.12,0.36,0.18,0.84
0.8,0.13,0.32,0.18,0.86
0.85,0.16,0.32,0.21,0.88
0.9,0.14,0.2,0.16,0.9
0.95,0.14,0.12,0.13,0.92
1.0,0.0,0.0,0.0,0.95
